aab | arrabury airport | tanbar | brisbane
cld | mcclellan-palomar airport | lake san marcos | los angeles
cle | cleveland hopkins international airport | brook park | new york
clj | avram iancu cluj international airport | sannicoara | bucharest
cll | easterwood airport | college station | chicago
clo | alfonso b. aragon airport | palmira | bogota
clq | colima airport | cuauhtemoc | mexico city
clt | charlotte douglas international airport |  | new york
cly | sainte catherine airport | calvi | paris
cmb | bandaranaike international airport | katunayake | colombo
cme | ciudad del carmen airport | ciudad del carmen | merida
cmg | corumba internacional airport |  | campo grande
cmh | john glenn columbus international airport | gahanna | new york
cmi | willard university airport | savoy | chicago
cmn | mohamed v international airport | nouaseur | casablanca
cmw | ign agramonte international airport | camaguey | havana
cmx | houghton county airport | dollar bay | detroit
cnd | kogalniceanu airport | mihail kogalniceanu | bucharest
cnf | tancredo neves international airport | lagoa santa | sao paulo
cnj | cloncurry airport |  | brisbane
cnn | kannur international airport | mattanur | kolkata
cnp | neerlerit inaat airport |  | scoresbysund
cnq | camba punta airport | corrientes | argentina
cns | cairns airport | cairns | brisbane
cnw | tstc waco airport | hillsboro | chicago
cnx | chiang mai international airport | chiang mai | bangkok
cod | yellowstone regional airport | cody | denver
cok | cochin international airport | angamali | kolkata
coo | cotonou airport | cotonou | porto-novo
cop | cooperstown - westville airport | cooperstown | new york
cor | ingeniero aeronautico ambrosio l.v. taravella international airport | villa allende | argentina
cos | colorado springs airport | security-widefield | denver
cou | columbia regional airport | ashland | chicago
cpc | chapelco airport | junin de los andes | argentina
cpd | coober pedy airport |  | adelaide
cpe | campeche international airport | campeche | merida
cph | copenhagen airport | dragor | copenhagen
cpo | chamonate airport | copiapo | santiago
cpp | coposa airport |  | santiago
cpr | casper/natrona county international airport | mills | denver
cps | st. louis downtown airport | cahokia | chicago
cpt | cape town international airport | lansdowne | johannesburg
cpv | joao suassuna airport | campina grande | fortaleza
cpx | benjamin rivera noriega airport | culebra | puerto rico
cqa | canarana airport |  | cuiaba
cra | craiova airport | carcea | bucharest
